Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE
Date,,,,,,
1995-01-01,4151.7001953125,4151.7001953125,4192.89990234375,4146.7998046875,4192.89990234375,1856600
1995-01-08,4133.39990234375,4133.39990234375,4196.39990234375,4120.39990234375,4144.2001953125,3330500
1995-01-15,4098.7998046875,4098.7998046875,4170.7998046875,4085.10009765625,4137.0,2758100
1995-01-22,4042.800048828125,4042.800048828125,4113.0,4031.800048828125,4055.300048828125,2516100
1995-01-29,4105.10009765625,4105.10009765625,4113.7001953125,3983.300048828125,4031.5,2934900
1995-02-05,4110.60009765625,4110.60009765625,4124.89990234375,4087.10009765625,4091.199951171875,2649800
1995-02-12,4101.2001953125,4101.2001953125,4135.60009765625,4091.800048828125,4105.7998046875,2805200
1995-02-19,4120.10009765625,4120.10009765625,4154.10009765625,4094.800048828125,4101.2001953125,2801700
1995-02-26,4097.0,4097.0,4124.7998046875,4072.10009765625,4108.2001953125,2743200
1995-03-05,4167.5,4167.5,4168.39990234375,4080.199951171875,4080.39990234375,2767500
1995-03-12,4228.0,4228.0,4229.7998046875,4167.39990234375,4174.7998046875,2942800
1995-03-19,4317.10009765625,4317.10009765625,4317.39990234375,4220.60009765625,4232.60009765625,3160100
1995-03-26,4313.60009765625,4313.60009765625,4320.5,4282.60009765625,4308.89990234375,3763000
1995-04-02,4264.89990234375,4264.89990234375,4306.89990234375,4251.7998046875,4305.2998046875,3438000
1995-04-09,4303.2998046875,4303.2998046875,4304.7998046875,4243.0,4250.5,2470000
1995-04-16,4258.10009765625,4258.10009765625,4317.89990234375,4245.7998046875,4312.7998046875,3023200
1995-04-23,4279.5,4279.5,4285.2001953125,4252.0,4254.39990234375,3222900
1995-04-30,4278.2998046875,4278.2998046875,4315.89990234375,4266.5,4276.2998046875,3707900
1995-05-07,4268.39990234375,4268.39990234375,4304.7998046875,4255.7998046875,4278.39990234375,3075600
1995-05-14,4367.2998046875,4367.2998046875,4386.7001953125,4271.2001953125,4271.2001953125,3321600
1995-05-21,4425.89990234375,4425.89990234375,4452.10009765625,4383.60009765625,4383.60009765625,3055600
1995-05-28,4449.7998046875,4449.7998046875,4449.7998046875,4420.7998046875,4425.89990234375,3187500
1995-06-04,4463.60009765625,4463.60009765625,4489.2001953125,4454.5,4456.60009765625,3490500
1995-06-11,4525.2998046875,4525.2998046875,4525.7001953125,4459.7001953125,4467.7998046875,3325400
1995-06-18,4544.7998046875,4544.7998046875,4562.10009765625,4522.2001953125,4527.39990234375,3569600
1995-06-25,4527.2001953125,4527.2001953125,4538.5,4502.10009765625,4532.2998046875,2972400
1995-07-02,4624.7998046875,4624.7998046875,4624.7998046875,4527.0,4527.2001953125,2641500
1995-07-09,4688.7998046875,4688.7998046875,4718.2998046875,4624.2998046875,4627.60009765625,3907600
1995-07-16,4600.0,4600.0,4700.39990234375,4573.7001953125,4681.39990234375,2861100
1995-07-23,4609.5,4609.5,4629.60009765625,4588.7998046875,4603.39990234375,2682400
1995-07-30,4613.89990234375,4613.89990234375,4615.10009765625,4571.10009765625,4609.7998046875,2376800
1995-08-06,4588.39990234375,4588.39990234375,4632.7001953125,4580.2998046875,4618.89990234375,1955100
