Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE
Date,,,,,,
2008-01-01,13155.099609375,13155.099609375,14037.7001953125,11982.900390625,13907.7001953125,5246150100
2008-02-01,13582.7001953125,13582.7001953125,13891.7998046875,12747.599609375,13202.599609375,4505827300
2008-03-01,13350.099609375,13350.099609375,13667.599609375,12453.900390625,13622.5,5009775900
2008-04-01,13937.0,13937.0,14372.2998046875,13254.0,13337.7001953125,4755252900
2008-05-01,14714.7001953125,14714.7001953125,15128.599609375,13846.599609375,13920.2998046875,4794265700
2008-06-01,14467.0,14467.0,15154.7998046875,14156.5,14673.900390625,4708141000
2008-07-01,13592.900390625,13592.900390625,14584.900390625,13157.900390625,14573.5,5117166900
2008-08-01,13771.2998046875,13771.2998046875,13771.2998046875,13015.900390625,13645.099609375,4070964700
2008-09-01,11752.900390625,11752.900390625,13771.2998046875,11171.2998046875,13558.7998046875,6508455900
2008-10-01,9762.7998046875,9762.7998046875,11775.7998046875,8537.2998046875,11730.7001953125,6990780400
2008-11-01,9270.599609375,9270.599609375,10199.7998046875,7647.10009765625,9841.2998046875,5928069900
2008-12-01,8987.7001953125,8987.7001953125,9270.599609375,7802.2998046875,8816.400390625,5650908400
2009-01-01,8694.900390625,8694.900390625,9505.7001953125,8387.599609375,8951.900390625,4769963000
2009-02-01,8123.0,8123.0,9151.599609375,7566.2998046875,8603.0,4761913900
2009-03-01,8720.400390625,8720.400390625,9018.5,7480.0,7997.60009765625,5839440200
2009-04-01,9324.7998046875,9324.7998046875,9568.2998046875,8617.2998046875,8647.599609375,4857191300
2009-05-01,10370.099609375,10370.099609375,10493.099609375,9324.7998046875,9369.2001953125,4706025200
2009-06-01,10374.900390625,10374.900390625,10726.0,9727.2998046875,10530.7998046875,4799342800
2009-07-01,10787.2001953125,10787.2001953125,10841.5,9535.5,10290.5,3774968400
2009-08-01,10868.2001953125,10868.2001953125,11065.400390625,10480.2001953125,10943.2998046875,3542276500
2009-09-01,11395.0,11395.0,11648.599609375,10634.7998046875,10840.900390625,4535265100
2009-10-01,10910.7998046875,10910.7998046875,11595.0,10767.599609375,11403.2998046875,4041880800
2009-11-01,11447.2001953125,11447.2001953125,11737.7998046875,10745.2998046875,10896.7001953125,3639444600
2009-12-01,11746.099609375,11746.099609375,11816.2998046875,11248.900390625,11574.7001953125,3322506500
2010-01-01,11094.2998046875,11094.2998046875,12070.7001953125,11084.2998046875,11847.2998046875,3276439600
2010-02-01,11629.599609375,11629.599609375,11763.2998046875,10990.400390625,11147.5,3144329300
2010-03-01,12037.7001953125,12037.7001953125,12129.2998046875,11629.599609375,11682.7998046875,4110928300
2010-04-01,12210.7001953125,12210.7001953125,12321.7998046875,11954.0,12069.900390625,3925581700
2010-05-01,11763.0,11763.0,12294.599609375,11180.0,12274.0,4661249300
2010-06-01,11294.400390625,11294.400390625,12077.0,11244.0,11702.2001953125,4361343100
2010-07-01,11713.400390625,11713.400390625,11822.7001953125,11065.5,11245.2998046875,3657327900
2010-08-01,11913.900390625,11913.900390625,11990.7998046875,11469.2998046875,11829.2998046875,3919657600
